	SC.CDP.BM	SC.CMP.BM	SC.GMP.BM	SC.LT34F.BM	SC.LTSL.BM	SC.LTSL.FL	SC.MDP.BM	SC.MEP.BM	SC.MPP34F.BM	SC.ST34F.BM	SC.STSL.BM	SC.STSL.FL
Ndrg1	9.057881013	9.90656475	8.979374223	9.695229916	10.1923324	6.977118851	8.713092046	7.665591742	9.346747515	10.25774829	10.34505778	7.310013768
Ndrg2	6.11710003	6.608579369	7.31675036	7.814859924	7.079268942	6.84617778	6.160469141	6.760235586	6.394428395	6.963356785	7.157207796	7.034002166
Ndrg3	8.582648828	8.845428735	8.539216466	8.863523261	8.586078154	8.506364845	8.236113877	8.617267072	8.731408306	8.93487486	8.587345737	8.402344223
Ndufab1	8.59423203	8.918655462	9.413957892	8.574469907	7.849496012	8.301905244	9.036165277	10.07668762	8.78432141	9.000345276	8.122637003	8.572450694
Ndufb6	9.534109862	9.951627861	10.75150986	9.123047596	7.323307914	7.26147346	9.845355184	10.83892436	9.042754582	9.04023889	7.683546516	8.407018724
Ndufc1	8.451707039	8.595771426	9.270054351	8.027655576	7.074768368	7.371457511	8.710585364	9.383320027	8.0462916	8.176667845	7.166297343	7.672705721
Ndufc2	9.84505221	10.27949498	10.65312685	9.459854529	8.721134059	9.233804515	10.16029622	10.77859825	9.810172107	9.676799476	9.379618868	10.0296738
Neb	5.014379099	5.610418074	5.10902757	5.340870809	5.486602831	5.74035105	5.008465973	5.035725071	5.119758714	5.197055456	5.202903501	5.586770747
Nebl	5.313263994	5.783787954	5.364110136	4.709700517	5.144871657	5.426706443	5.48476544	5.340115363	5.333429101	5.164830517	5.161715731	5.05914109
Necab2	5.711024945	6.09867536	6.153634445	5.462627144	5.929996879	5.81567362	5.965297918	5.750216571	5.731454808	5.676302674	5.642810338	5.629532939
Nedd4	9.347114325	10.59461521	9.094910592	11.07248215	11.16755413	11.459256	9.812955092	10.74497268	10.60410891	11.09969743	11.02746349	11.51377985
Nefh	6.827214811	8.207095607	7.315536343	8.534786877	8.62034753	8.500512349	7.203909146	8.923291529	8.049935925	8.452849701	8.705765881	8.284875215
Neil1	6.0214627	6.698516462	6.488444848	6.603754414	6.422594638	6.237983016	6.155200752	6.021536359	6.168573846	6.395598397	6.749594602	6.474300561
Neil3	9.089940698	7.864137538	7.718384917	7.341341797	7.79252396	8.722267686	8.974210552	8.019099183	8.895556955	8.508700202	6.898245444	9.035257416
Nek2	9.651816679	7.522360255	8.385788934	6.647574989	7.10438384	7.505608861	9.024192592	9.229065731	7.972294307	7.592773947	6.457145541	7.750082213
Nek6	8.017646738	7.011718136	7.583623128	7.663263487	6.925186487	7.774634877	7.745242487	5.929989781	7.957723109	7.573975827	8.019130142	8.659581571
Net1	9.095125514	7.601646381	7.028202612	7.48629417	7.475131102	7.94531351	7.804477183	8.723708038	7.780754638	7.341387168	7.741253937	8.232172422
Neto2	5.487116496	6.313416382	5.592713162	6.225077585	5.99389321	7.916020356	6.196333602	6.152639768	6.354452161	6.658273617	5.820565332	8.062750713
Neurod4	3.841654497	4.55197121	4.109098633	3.902951474	4.15295676	4.006707942	3.807437359	3.868706517	3.929227631	3.92283531	4.070171763	4.126303869
Nfam1	9.806603269	7.420056214	8.760461597	7.651909158	7.85602021	7.381617932	8.690176463	5.457809314	7.935356905	7.858892341	8.40125941	8.106663435
Nfe2	7.070894111	8.420529983	8.660965804	8.701724278	8.517780128	8.215338524	7.361388514	7.457379237	7.994268853	8.391213296	9.033955838	8.221577938
Nfil3	8.769705411	5.9420171	7.500379559	6.118239275	6.289203087	6.406643807	8.05827482	5.828201237	6.693604738	5.997724835	6.440474431	6.459213558
Nfix	8.15435806	9.214326893	8.760813297	9.421732095	10.52054401	9.175931308	8.468686894	9.01397638	9.230243009	9.63546701	10.60095483	8.634163779
Nfkbid	7.594152142	6.995660888	7.294659649	6.906723073	6.881132319	6.652106889	7.30588968	6.129027431	7.120063655	7.022406099	7.097582706	6.898579018
Nfkbiz	6.828881605	6.639546922	6.054990251	7.823055949	7.05856616	6.641612498	6.625693746	6.140823637	7.113593722	7.02006321	7.598367191	7.017122973
Ngp	4.449662613	4.586938841	5.085239095	4.284077291	11.23096681	6.042765432	4.311553975	4.492692821	4.51179376	4.262636107	10.70457417	4.387944933
Niacr1	5.838632477	5.877296405	5.797938151	5.332108775	5.805799752	5.627698268	5.808670781	5.505047735	5.560526964	5.451603472	5.740995899	5.393026574
Nid1	5.169910307	5.946653671	5.327664612	5.192759662	5.430450321	5.645032949	5.020060617	5.375256688	5.338882539	5.191108579	5.157384665	7.137628525
Ninj1	7.978589014	8.661181304	9.466417147	8.849392381	8.19998882	7.526644512	8.757157626	8.004279465	8.636785012	8.832258855	8.675622717	7.335500674
Nip7	7.974843415	8.116532409	8.861232926	7.849495596	7.076559808	7.332443595	8.245730952	8.93350625	7.733299086	7.925941876	7.543683271	7.859863975
Nipa1	5.349458463	6.784218661	5.714777614	6.820892048	6.071140536	5.83196251	5.78383378	8.530446525	6.024289756	6.439684634	5.932061171	5.685948556
Nipal1	5.244800819	5.650697075	5.323051757	5.194675444	5.047663436	5.294492095	5.113274039	4.953972908	5.21080185	4.875694069	5.041155352	4.87757249
Nkg7	7.066855553	10.99052561	12.04470868	9.638236662	8.054230403	6.101902156	9.602120805	7.811879107	9.883721764	10.28505919	8.408458116	5.996493826
Nlrc3	5.673421683	6.9809307	6.036334086	6.714538149	6.084144365	5.659331874	5.764055934	5.682963694	7.548018475	7.160024174	7.200259772	6.387114349
Nlrc5	8.464825617	9.439448919	8.449009116	10.31515387	10.38861595	7.704842231	8.556817296	8.117284396	9.815075029	10.110605	10.81595306	7.733897622
Nlrp1a	5.917300465	5.831935495	5.816406857	5.30843369	4.842707358	5.694210679	6.220010009	4.507258682	6.042787681	5.276141159	5.887446473	5.981602671
